RF DESPACHO,ANO DESEMB,TRIMESTRE DESEMB,TMBDI
1ª RF,2015,20151,38
1ª RF,2015,20152,51
1ª RF,2015,20153,60
1ª RF,2015,20154,53
1ª RF,2016,20161,55
1ª RF,2016,20162,43
1ª RF,2016,20163,35
1ª RF,2016,20164,54
1ª RF,2017,20171,46
1ª RF,2017,20172,35
1ª RF,2017,20173,42
1ª RF,2017,20174,56
1ª RF,2018,20181,43
1ª RF,2018,20182,55
1ª RF,2018,20183,51
1ª RF,2018,20184,37
1ª RF,2019,20191,43
1ª RF,2019,20192,31
1ª RF,2019,20193,29
1ª RF,2019,20194,24
1ª RF,2020,20201,26
1ª RF,2020,20202,20
1ª RF,2020,20203,19
1ª RF,2020,20204,21
1ª RF,2021,20211,17
1ª RF,2021,20212,16
1ª RF,2021,20213,14
1ª RF,2021,20214,11
1ª RF,2022,20221,25
1ª RF,2022,20222,35
1ª RF,2022,20223,30
1ª RF,2022,20224,25
1ª RF,2023,20231,16
1ª RF,2023,20232,16
1ª RF,2023,20233,18
1ª RF,2023,20234,21
1ª RF,2024,20241,26
2ª RF,2015,20151,20
2ª RF,2015,20152,21
2ª RF,2015,20153,20
2ª RF,2015,20154,26
2ª RF,2016,20161,21
2ª RF,2016,20162,20
2ª RF,2016,20163,22
2ª RF,2016,20164,53
2ª RF,2017,20171,21
2ª RF,2017,20172,16
2ª RF,2017,20173,14
2ª RF,2017,20174,20
2ª RF,2018,20181,17
2ª RF,2018,20182,16
2ª RF,2018,20183,18
2ª RF,2018,20184,16
2ª RF,2019,20191,13
2ª RF,2019,20192,11
2ª RF,2019,20193,9
2ª RF,2019,20194,11
2ª RF,2020,20201,10
2ª RF,2020,20202,8
2ª RF,2020,20203,6
2ª RF,2020,20204,10
2ª RF,2021,20211,11
2ª RF,2021,20212,11
2ª RF,2021,20213,9
2ª RF,2021,20214,10
2ª RF,2022,20221,19
2ª RF,2022,20222,24
2ª RF,2022,20223,18
2ª RF,2022,20224,18
2ª RF,2023,20231,14
2ª RF,2023,20232,14
2ª RF,2023,20233,11
2ª RF,2023,20234,11
2ª RF,2024,20241,16
3ª RF,2015,20151,59
3ª RF,2015,20152,63
3ª RF,2015,20153,72
3ª RF,2015,20154,74
3ª RF,2016,20161,65
3ª RF,2016,20162,51
3ª RF,2016,20163,49
3ª RF,2016,20164,57
3ª RF,2017,20171,43
3ª RF,2017,20172,35
3ª RF,2017,20173,24
3ª RF,2017,20174,29
3ª RF,2018,20181,32
3ª RF,2018,20182,41
3ª RF,2018,20183,41
3ª RF,2018,20184,28
3ª RF,2019,20191,31
3ª RF,2019,20192,31
3ª RF,2019,20193,25
3ª RF,2019,20194,26
3ª RF,2020,20201,27
3ª RF,2020,20202,31
3ª RF,2020,20203,27
3ª RF,2020,20204,24
3ª RF,2021,20211,23
3ª RF,2021,20212,29
3ª RF,2021,20213,23
3ª RF,2021,20214,19
3ª RF,2022,20221,48
3ª RF,2022,20222,60
3ª RF,2022,20223,34
3ª RF,2022,20224,38
3ª RF,2023,20231,28
3ª RF,2023,20232,22
3ª RF,2023,20233,20
3ª RF,2023,20234,27
3ª RF,2024,20241,26
4ª RF,2015,20151,48
4ª RF,2015,20152,37
4ª RF,2015,20153,37
4ª RF,2015,20154,35
4ª RF,2016,20161,30
4ª RF,2016,20162,32
4ª RF,2016,20163,37
4ª RF,2016,20164,49
4ª RF,2017,20171,33
4ª RF,2017,20172,32
4ª RF,2017,20173,35
4ª RF,2017,20174,35
4ª RF,2018,20181,38
4ª RF,2018,20182,40
4ª RF,2018,20183,32
4ª RF,2018,20184,30
4ª RF,2019,20191,27
4ª RF,2019,20192,28
4ª RF,2019,20193,29
4ª RF,2019,20194,25
4ª RF,2020,20201,22
4ª RF,2020,20202,25
4ª RF,2020,20203,22
4ª RF,2020,20204,21
4ª RF,2021,20211,29
4ª RF,2021,20212,22
4ª RF,2021,20213,24
4ª RF,2021,20214,21
4ª RF,2022,20221,39
4ª RF,2022,20222,50
4ª RF,2022,20223,45
4ª RF,2022,20224,42
4ª RF,2023,20231,25
4ª RF,2023,20232,38
4ª RF,2023,20233,37
4ª RF,2023,20234,36
4ª RF,2024,20241,36
5ª RF,2015,20151,52
5ª RF,2015,20152,53
5ª RF,2015,20153,45
5ª RF,2015,20154,56
5ª RF,2016,20161,48
5ª RF,2016,20162,40
5ª RF,2016,20163,39
5ª RF,2016,20164,51
5ª RF,2017,20171,45
5ª RF,2017,20172,44
5ª RF,2017,20173,32
5ª RF,2017,20174,41
5ª RF,2018,20181,45
5ª RF,2018,20182,48
5ª RF,2018,20183,45
5ª RF,2018,20184,39
5ª RF,2019,20191,36
5ª RF,2019,20192,31
5ª RF,2019,20193,32
5ª RF,2019,20194,36
5ª RF,2020,20201,36
5ª RF,2020,20202,30
5ª RF,2020,20203,26
5ª RF,2020,20204,22
5ª RF,2021,20211,18
5ª RF,2021,20212,18
5ª RF,2021,20213,17
5ª RF,2021,20214,16
5ª RF,2022,20221,27
5ª RF,2022,20222,33
5ª RF,2022,20223,28
5ª RF,2022,20224,23
5ª RF,2023,20231,20
5ª RF,2023,20232,20
5ª RF,2023,20233,22
5ª RF,2023,20234,32
5ª RF,2024,20241,23
6ª RF,2015,20151,30
6ª RF,2015,20152,32
6ª RF,2015,20153,32
6ª RF,2015,20154,41
6ª RF,2016,20161,43
6ª RF,2016,20162,27
6ª RF,2016,20163,29
6ª RF,2016,20164,32
6ª RF,2017,20171,23
6ª RF,2017,20172,16
6ª RF,2017,20173,14
6ª RF,2017,20174,17
6ª RF,2018,20181,17
6ª RF,2018,20182,20
6ª RF,2018,20183,13
6ª RF,2018,20184,10
6ª RF,2019,20191,11
6ª RF,2019,20192,12
6ª RF,2019,20193,10
6ª RF,2019,20194,12
6ª RF,2020,20201,13
6ª RF,2020,20202,13
6ª RF,2020,20203,14
6ª RF,2020,20204,13
6ª RF,2021,20211,12
6ª RF,2021,20212,11
6ª RF,2021,20213,9
6ª RF,2021,20214,10
6ª RF,2022,20221,16
6ª RF,2022,20222,19
6ª RF,2022,20223,23
6ª RF,2022,20224,21
6ª RF,2023,20231,16
6ª RF,2023,20232,16
6ª RF,2023,20233,12
6ª RF,2023,20234,16
6ª RF,2024,20241,20
7ª RF,2015,20151,44
7ª RF,2015,20152,45
7ª RF,2015,20153,46
7ª RF,2015,20154,53
7ª RF,2016,20161,62
7ª RF,2016,20162,59
7ª RF,2016,20163,60
7ª RF,2016,20164,50
7ª RF,2017,20171,36
7ª RF,2017,20172,25
7ª RF,2017,20173,32
7ª RF,2017,20174,29
7ª RF,2018,20181,28
7ª RF,2018,20182,37
7ª RF,2018,20183,38
7ª RF,2018,20184,25
7ª RF,2019,20191,24
7ª RF,2019,20192,26
7ª RF,2019,20193,38
7ª RF,2019,20194,42
7ª RF,2020,20201,46
7ª RF,2020,20202,57
7ª RF,2020,20203,36
7ª RF,2020,20204,37
7ª RF,2021,20211,61
7ª RF,2021,20212,34
7ª RF,2021,20213,21
7ª RF,2021,20214,23
7ª RF,2022,20221,34
7ª RF,2022,20222,38
7ª RF,2022,20223,25
7ª RF,2022,20224,23
7ª RF,2023,20231,19
7ª RF,2023,20232,20
7ª RF,2023,20233,19
7ª RF,2023,20234,21
7ª RF,2024,20241,29
8ª RF,2015,20151,31
8ª RF,2015,20152,30
8ª RF,2015,20153,36
8ª RF,2015,20154,37
8ª RF,2016,20161,30
8ª RF,2016,20162,29
8ª RF,2016,20163,29
8ª RF,2016,20164,36
8ª RF,2017,20171,27
8ª RF,2017,20172,21
8ª RF,2017,20173,19
8ª RF,2017,20174,19
8ª RF,2018,20181,22
8ª RF,2018,20182,24
8ª RF,2018,20183,27
8ª RF,2018,20184,21
8ª RF,2019,20191,21
8ª RF,2019,20192,20
8ª RF,2019,20193,18
8ª RF,2019,20194,17
8ª RF,2020,20201,18
8ª RF,2020,20202,16
8ª RF,2020,20203,14
8ª RF,2020,20204,13
8ª RF,2021,20211,13
8ª RF,2021,20212,12
8ª RF,2021,20213,11
8ª RF,2021,20214,11
8ª RF,2022,20221,18
8ª RF,2022,20222,28
8ª RF,2022,20223,19
8ª RF,2022,20224,14
8ª RF,2023,20231,12
8ª RF,2023,20232,13
8ª RF,2023,20233,11
8ª RF,2023,20234,13
8ª RF,2024,20241,18
9ª RF,2015,20151,34
9ª RF,2015,20152,35
9ª RF,2015,20153,34
9ª RF,2015,20154,37
9ª RF,2016,20161,28
9ª RF,2016,20162,23
9ª RF,2016,20163,27
9ª RF,2016,20164,36
9ª RF,2017,20171,23
9ª RF,2017,20172,20
9ª RF,2017,20173,20
9ª RF,2017,20174,22
9ª RF,2018,20181,23
9ª RF,2018,20182,21
9ª RF,2018,20183,20
9ª RF,2018,20184,19
9ª RF,2019,20191,17
9ª RF,2019,20192,17
9ª RF,2019,20193,16
9ª RF,2019,20194,16
9ª RF,2020,20201,19
9ª RF,2020,20202,20
9ª RF,2020,20203,18
9ª RF,2020,20204,18
9ª RF,2021,20211,17
9ª RF,2021,20212,13
9ª RF,2021,20213,15
9ª RF,2021,20214,19
9ª RF,2022,20221,19
9ª RF,2022,20222,21
9ª RF,2022,20223,20
9ª RF,2022,20224,21
9ª RF,2023,20231,16
9ª RF,2023,20232,18
9ª RF,2023,20233,17
9ª RF,2023,20234,20
9ª RF,2024,20241,19
10ª RF,2015,20151,25
10ª RF,2015,20152,25
10ª RF,2015,20153,25
10ª RF,2015,20154,34
10ª RF,2016,20161,25
10ª RF,2016,20162,19
10ª RF,2016,20163,25
10ª RF,2016,20164,38
10ª RF,2017,20171,23
10ª RF,2017,20172,30
10ª RF,2017,20173,21
10ª RF,2017,20174,22
10ª RF,2018,20181,20
10ª RF,2018,20182,18
10ª RF,2018,20183,15
10ª RF,2018,20184,12
10ª RF,2019,20191,10
10ª RF,2019,20192,11
10ª RF,2019,20193,12
10ª RF,2019,20194,11
10ª RF,2020,20201,12
10ª RF,2020,20202,10
10ª RF,2020,20203,8
10ª RF,2020,20204,9
10ª RF,2021,20211,10
10ª RF,2021,20212,8
10ª RF,2021,20213,10
10ª RF,2021,20214,9
10ª RF,2022,20221,29
10ª RF,2022,20222,24
10ª RF,2022,20223,21
10ª RF,2022,20224,18
10ª RF,2023,20231,15
10ª RF,2023,20232,15
10ª RF,2023,20233,16
10ª RF,2023,20234,19
10ª RF,2024,20241,24
